代码,名称,所属行业
CMA,联信银行,银行 - 地区性
CMAX,CareMax,健康信息服务
CMC,美国工商五金公司,钢
CMCO,哥伦布-麦金农,农用及重型工程机械
CME,芝加哥商品交易所,财务数据与证券交易所
CMG,奇波雷墨西哥烧烤,餐厅
CMI,康明斯,特种工业机械
CMPR,Cimpress,广告代理
CNA,CNA金融,保险 - 财产和伤亡
CNC,康西哥,医疗计划
CNDT,Conduent,信息技术服务
CNHI,凯斯纽,农用及重型工程机械
CNI,加拿大国家铁路,铁路
CNK,喜满客影城,娱乐
CNM,Core & Main,产业分布
CNO,康塞科,保险 - 人寿
CNQ,加拿大自然资源,石油和天然气勘探及生产
CNX,康索尔能源,石油和天然气勘探及生产
CNXC,Concentrix,信息技术服务
COF,第一资本信贷,信贷服务
COHR,Coherent,科技仪器
COHU,科休半导体,半导体设备与材料
COIN,Coinbase,财务数据与证券交易所
COLL,Collegium Pharmaceutical,药品制造商 - 专业和通用
COMM,CommScope,通讯设备
COOP,Mr. Cooper Group,抵押金融
COP,康菲石油,石油和天然气勘探及生产
COST,好市多,折扣店
COYA,Coya Therapeutics,生物技术
CP,加拿大太平洋铁路,铁路
CPA,科帕控股,航空公司
CPAY,Corpay,软件 - 基础架构
CPB,金宝汤,包装食品
CPNG,Coupang,互联网零售
CPRI,Capri Holdings,奢侈品
CPRT,科帕特,专业商务服务
CPT,卡姆登物业信托,房地产投资信托 - 住宅
CR,Crane,特种工业机械
CRBU,Caribou Biosciences,生物技术
CRC,加州资源,石油和天然气勘探及生产
CRDO,Credo Technology,通讯设备
CRGX,CARGO Therapeutics,生物技术
CRH,CRH水泥,建筑材料
CRIS,居里,生物技术
CRL,查尔斯河实验室,诊断与研究
CRM,赛富时,软件 - 应用
CRMT,美国汽车行,汽车和卡车经销权
CRNC,Cerence,软件 - 应用
CROX,卡骆驰,鞋类及配件
CRS,卡朋特科技,金属加工
CRWD,CrowdStrike,软件 - 基础架构
CSCO,思科,通讯设备
CSGP,科斯塔,房地产服务
CSGS,CSG国际,软件 - 基础架构
CSTM,Constellium,铝
CSWI,CSW Industrials,特种工业机械
CSX,CSX运输,铁路
CTLP,Cantaloupe,信息技术服务
CTO,CTO Realty Growth,房地产投资信托 - 多元化
CTOS,Custom Truck One Source,租赁服务
CTSH,高知特,信息技术服务
CTVA,Corteva,农业投入品
CUBE,CubeSmart,房地产投资信托 - 工业
CUZ,卡津斯不动产信托基金,房地产投资信托 - 写字楼
CVE,Cenovus能源,石油和天然气综合
CVI,CVR能源,石油和天然气精炼与营销
CVLT,康沃系统,软件 - 应用
CVNA,Carvana,汽车和卡车经销权
CVS,西维斯健康,医疗计划
CVX,雪佛龙,石油和天然气综合
CW,寇蒂斯莱特,航空航天和国防
CWAN,Clearwater Analytics,软件 - 应用
CWH,露营世界,汽车和卡车经销权
CWK,Cushman & Wakefield,房地产服务
CX,西麦斯,建筑材料
CYD,玉柴国际,汽车零件
CZOO,Cazoo,汽车和卡车经销权
CZR,凯撒娱乐,渡假村和赌场
